id,action,level,signature
00,,info,The log was started
01,,info,The log was stopped
02,,error,The log was temporarily paused due to low disk space
10,added,info,A new IP address was leased to a client
11,added,info,A lease was renewed by a client.
12,,info,A lease was released by a client
13,,warn,An IP address was found to be in use on the network.
14,blocked,error,A lease request could not be satisfied because the scope's address pool was exhausted
15,blocked,warn,A lease was denied
16,,info,A lease was deleted
17,,info,A lease was expired and DNS records for an expired leases have not been deleted
18,,info,A lease was expired and DNS records were deleted
20,added,info,A BOOTP address was leased to a client
21,added,info,A dynamic BOOTP address was leased to a client
22,blocked,error,A BOOTP request could not be satisfied because the scope's address pool for BOOTP was exhausted
23,,info,A BOOTP IP address was deleted after checking to see it was not in use
24,,info,IP address cleanup operation has begun
25,,info,IP address cleanup statistics
30,,info,DNS dynamic update request
31,blocked,warn,DNS dynamic update failed
32,added,info,DNS dynamic update successful
33,,warn,Packet dropped due to NAP policy
34,blocked,warn,DNS update request failed as the DNS update request queue limit exceeded
35,blocked,warn,DNS update request failed
36,,warn,Packet dropped because the server is in failover standby role or the hash of the client ID does not match
50,,error,The DHCP server could not locate the applicable domain for its configured Active Directory installation
51,,info,The DHCP server was authorized to start on the network
52,,warn,"The DHCP server was recently upgraded to a Windows Server 2003 operating system, and, therefore, the unauthorized DHCP server detection feature (used to determine whether the server has been authorized in Active Directory) was disabled"
53,,warn,The DHCP server was authorized to start using previously cached information. Active Directory was not currently visible at the time the server was started on the network
54,,error,"The DHCP server was not authorized to start on the network. When this event occurs, it is likely followed by the server being stopped"
55,,info,The DHCP server was successfully authorized to start on the network.
56,,error,The DHCP server was not authorized to start on the network and was shut down by the operating system. You must first authorize the server in the directory before starting it again
57,,warn,Another DHCP server exists and is authorized for service in the same domain
58,,error,The DHCP server could not locate the specified domain
59,,warn,A network-related failure prevented the server from determining if it is authorized
60,,error,"No Windows Server 2003 domain controller (DC) was located. For detecting whether the server is authorized, a DC that is enabled for Active Directory is needed"
61,,warn,Another DHCP server was found on the network that belongs to the Active Directory domain
62,,warn,Another DHCP server was found on the network
63,,info,The DHCP server is trying once more to determine whether it is authorized to start and provide service on the network
64,,error,The DHCP server has its service bindings or network connections configured so that it is not enabled to provide service
